"file_id"	"cases.samples.submitter_id"
"f375b385-ce64-422f-bf81-b02baf972825"	"TCGA-D8-A27L-01A"
"be3f42fc-c6a8-4035-8b1d-41660c65ae8b"	"TCGA-EW-A1OW-01A"
"60ccad5e-69b0-4be1-a170-91b926a65fa0"	"TCGA-A8-A09M-01A"
"05cfd5e2-0485-4f97-a178-9491c8e770e3"	"TCGA-A2-A0EP-01A"
"41ce9087-9224-4421-806a-f7b223b664e8"	"TCGA-A2-A1FV-01A"
"bb6dda23-0225-40de-bd3a-d07336874254"	"TCGA-E2-A2P5-01A"
"848df680-4b79-48e3-8fd8-c53cedc32af1"	"TCGA-A8-A07L-01A"
"ba8364a2-c4e3-4d07-b5f0-8ac55de072f1"	"TCGA-OL-A6VO-01A"
"6d5432c4-2c6e-4c9b-b5cb-3eec1f7063fa"	"TCGA-AR-A24K-01A"
"f6e9a889-4970-4bb9-8c7d-1ddc1b88362f"	"TCGA-BH-A0BJ-11A"
"94d7a58a-54e4-4d5f-b675-f1ea511e07ad"	"TCGA-AC-A3TN-01A"
"c386f4fd-95b5-4f33-a2c8-5b19467f6316"	"TCGA-BH-A0DO-11A"
"9b8eb01d-9107-4d01-8abf-71cc53a8fecf"	"TCGA-B6-A0I1-01A"
"002aa584-7dd3-4c62-952b-b24e5858482b"	"TCGA-A2-A25E-01A"
"46c6ea37-574d-4511-ad8f-df7df6a07b96"	"TCGA-B6-A0IM-01A"
"5e02c1a8-36b4-4b0c-aa80-539121d98ece"	"TCGA-A8-A07U-01A"
"984c8ca6-8d94-4940-aeec-1bb1e706dcb9"	"TCGA-B6-A0RP-01A"
"31c26a58-c8ca-4b7d-a11c-4055a7ee093f"	"TCGA-BH-A0BW-01A"
"d00adf76-e015-4785-b853-7eae266a2d22"	"TCGA-B6-A0I5-01A"
"3c16f19b-9a4e-4e08-9d4a-08b48dab37a7"	"TCGA-AO-A124-01A"
"9abd6301-a0e8-4484-b3ea-daf4b9175f0d"	"TCGA-AR-A0U0-01A"
"282a6ff0-63a0-4f59-ae49-a34f5c5be842"	"TCGA-S3-AA0Z-01A"
"a3c1b6c8-2e3c-4375-9fb7-8d9b8fe6d4d2"	"TCGA-AC-A2FO-01A"
"7665d44d-5604-4e66-b22e-be29756ca099"	"TCGA-EW-A1J3-01A"
"fa22877d-0c08-4725-a0f3-1ea869f8f6d4"	"TCGA-A8-A076-01A"
"3561b90b-d2af-41c1-8012-89c8ccc6f7a0"	"TCGA-B6-A0RQ-01A"
"f9acbd12-1d52-45af-a9d3-d7fbba0955e0"	"TCGA-E9-A5FK-01A"
"d14add36-6662-47ce-9a26-3374bf1e8807"	"TCGA-BH-A0BG-01A"
